prod_id,Brand,Model name,Memory storage capacity,Screen size,Maximum display resolution,Operating system,Colour,Installed RAM memory size,Generation,Model year,Special features,Battery life,Compatible devices,Form factor,Shell type,Material,Max. compatible device size,Pattern,Theme,Number of batteries,Item weight,Item dimensions L x W x H,Are batteries included?,Batteries required?,Charging time,Compatible phone models,Mounting type,Accessory connection type,Age range (description),Connectivity technology,Keyboard description,Number of keys,Style,Included components,Item hardness,Product dimensions,Finish type,Screen surface description,Number of items,Adjustable length,Recommended product uses,Connector type,Cable type,Connector gender,Data transfer rate,Keyboard backlight colour support,Unit count
10139,UGREEN,,,,,,,,,,,,"Tablets, Telephones",Collapsible,,Metal,,,,,,,,,,"devices up to 13 inches, like iPad Pro/Air 13"" & 11"" 2024, iPad Pro 12.9"" 2022/2021, iPad Pro 11"" 2021, iPad Air 10.9"" 2022, iPad 10th 10.9"", iPad Mini 7/6/5/4, Galaxy Tab A8 10.5”/Tab A9/Tab A9 Plus 11""/Tab S10+ S9 S8 S7 S6, Surface Pro 11/10/9 13"" Surface Go 4/3, Pixel Tablet, BlackView Tablet, iPhone 16 Pro Max/16 Pro/16 Plus/15 Pro Max/14/13/12, Galaxy S24 Ultra/S23, Pixel 9/8/7, portable monitor, Switch Oled, e-book, drawing tablet.See more",Tabletop,Clip Holder,,,,,,,,,Brushed,,,No,,,,,,,
10140,ProCase,,,,,,Black,,,,"Lightweight,Travel",,Tablet,,,,,,,,,,,,,,,,,Bluetooth,Accessible,78,Modern,,,24.9L x 17.3W x 0.7H centimetres,,,,,Everyday Use,,,,,,
10141,ZUGU CASE,,,,,,Black,,,,Lightweight,,"iPad Pro 11 1st gen , iPad Pro 11 2nd gen,, iPad Pro 11 3rd gen, iPad Pro 11 4th gen","Case, cover",Hard,"Leather, Acrylonitrile Butadiene Styrene, Thermoplastic Polyurethane",11 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142,Quntis,,,,,,White,,,,"Data Transfer, High Speed, Short Circuit Protection, Lightweight, Fast Charging",,iphone/ipad/Airpods/Tablet,,,,,,,,,,,,,"iPhone 14, iPhone 14 Plus, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 13, iPhone 13 mini, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 12, 12 mini, 12 Pro, 12 Pro Max, SE (2020), XS, XS Max, X, XR, 8, iPhone 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6 Plus, SE, 5s, 5c, 5, 11, 11 Pro, 11 Pro Max, iPad 2020, iPad Pro 10.5-inch, iPad Pro 9.7-inch, iPad (6th Generation), iPad (5th Generation), Pad mini 4, iPad mini 3, iPad mini 2, iPad mini, iPad mini (5th Generation), AirPods Pro, AirPodsSee more",,,,,,,,,,,,,,,"Charging and syncing iPhones and other Lightning devices, data transfer",Lightning,Lightning,Male-to-Male,480 Megabytes Per Second,,
10144,ZUGU CASE,,,,,,Black,,,,Heavy Duty Protection,,Tablets,Case,Hard,"Leather, Acrylonitrile Butadiene Styrene, Thermoplastic Polyurethane",10.2 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146,JETech,,,,,,Black,,,,"Magnetic Closure,Pencil Holder,Auto Sleep/Wake",,iPad Pro 11-Inch (2022/2021/2020/2018 Model),Cover,Hard,PU-TPU-PC,11 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147,ProCase,,,,,,Navy,,,,"Waterproof, Flexi, Wireless Charging Compatible",,Tablets,Case,Hard,Thermoplastic Polyurethane,10.9 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148,runelk,,,,,,12.9-BLACK,,,,Backlit,,"2021 12.9 inch Pro 5th Generation (MODEL A2378/A2379/A2461/A2462), 2022 12.9 inch pro 6th Generation (MODEL A2436/A2437/2764/A2766), 2020 12.9 inch Pro 4th Generation (MODEL A2229/A2069/ A2232/A2233), 2024 iPad Air 13 inch, 2018 12.9 inch Pro 3rd Generation (MODEL A1876/A2014/A1895/A1983)See more",,,,,,,,,,,,,,,,,USB-C,Laptop-Like Keyboard,78,Floating Cantilever-Black,,,,,,,,Office,,,,,Single Color,
10151,ProCase,,,10.9 Inches,,,,,,,Scratch Resistant,,iPad Air 10.9/ iPad 10th Gen 10.9 2022,,,Tempered Glass,,,,,,,,,,iPad,,,,,,,,,9H,24L x 16W centimetres,Glossy,Glossy,,,,,,,,,
10152,JETech,,,10.9 Inches,,,,,,,Screen Protection/Scratch Resistant/High Transparency/High Sensitivity,,iPad 10th Generation 2022 Model,,,Tempered Glass,,,,,,,,,,iPad 10th Generation 2022 Model,,,,,,,,,9H,24.5L x 17.6W centimetres,Glossy,,,,,,,,,,2 Count
10153,InUnion,,,,,,black,,,,Lightweight,,Tablet,,,Plastic,,,,,,,,,,,,,,Bluetooth,Multi Functional,64,Modern,,,,,,,,Everyday Use,,,,,,
10154,ProCase,,,,,,Navy,,,,"Auto Sleep, Lightweight, Anti-Slip",,iPad air 11-inch M2 2024 / iPad Air 5th Generation 2022 / iPad Air 4th 2020,Case,Hard,Polyurethane,10.9 Inches,Solid,Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155,Spigen,,,10.9 Inches,,,,,,,9H Surface Hardness,,"iPad Air 10.9"" (2024)",,,AG Film,,,,,,,,,,"iPad Air 11"" (2024)",,,,,,,,,9H,35L x 21W centimetres,Glossy,Matte,,,,,,,,,
10156,Logitech,Logitech,,,,,Black,,,,,,Laptop,,,Plastic,,,,,,,,,,,,,,Bluetooth,Multi Functional,3,Modern,,,2L x 254W x 195H millimetres,,,,,,,,,,,
10157,Logitech,,,,,,gray,,,,Designed for a positive future,,iPad Air 13-inch (M2),,,,,,,,,,,,,,,,,Smart Connector,Standalone,78,COMBO TOUCH,,,,,,,,"typing and productivity, watching media, reading, video calls",,,,,Single Color,
10158,Spigen,"iPad Air 13"" (2024) Glas.tR EZ Fit (1P) - Transparency",,13 Inches,,,,,,,9 godzina Surface Hardness,,"iPad Air 12.9"" (2024)",,,Tempered Glass,,,,,,,,,,,,,,,,,,,9H,38L x 25W centimetres,Glossy,Glossy,,,,,,,,,
10159,JETech,,,,,,Black,,,,"‎Magnetic Closure,Pencil Holder,Auto Sleep/Wake",,"iPad Air 5/4 (10.9-Inch, 2022/2020 Model), iPad Air 11-Inch M2 (2024)",Case,Hard,PU-TPU-PC,10.9 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161,ProCase,,,,,,Navy,,,,Slim Fit,,iPad Mini 7th Generation 2024(Model: A2993 A2995 A2996) / iPad Mini 6th Gen 8.3” 2021 (A2567 A2568 A2569)See more,Case,Hybrid,Thermoplastic Polyurethane,8.3 Inches,/,,,,,,,,"iPad mini A17 Pro 2024 A2995 iPad Mini 6 8.3"" 2021 A2567 A2568 A2569",,,,,,,,,,,,,,,,,,,,,
10162,Lamicall,,,,,,silver,,,,Lightweight,,"Apple iPad 2 3 4 5 / Apple iPad Pro 9.7 / 10.5 / 12.9 / iPad Air / Apple iPad Mini 2 3 4 / Apple iPhone 12 Mini, 12 Pro Max, 11 Pro, Xs Xs Max XR X, 8, 7 plus / Apple iPhone 6 6s; Samsung Galaxy S3 / SamApple iPad 2 3 4 5 / Apple iPad Pro 9.7 / 10.5 / 12.9 / iPad Air / Apple iPad Mini 2 3 4 / Apple iPhone 12 Mini, 12 Pro Max, 11 Pro, Xs Xs Max XR X, 8, 7 plus / Apple iPhone 6 6s; Samsung Galaxy S3 / Samsung Galaxy S4 / Samsung Galaxy Tab 2; for Sony Xperia Z tablet, Switchsung Galaxy S4 / Samsung Galaxy Tab 2; Sony Xperia Z Tablet tablet, for SwitchSee more",Tripod,,Aluminium,,,Mobile technology,,,,,,,"Apple iPad 2 3 4 5 / Apple iPad Pro 9.7 / 10.5 / 12.9 / iPad Air / Apple iPad Mini 2 3 4 / Apple iPhone 12 Mini, 12 Pro Max, 11 Pro, Xs Xs Max XR X, 8, 7 plus / Apple iPhone 6 6s; Samsung Galaxy S3 / Samsung Galaxy S4 / Samsung Galaxy Tab 2; for Sony Xperia Z Tablet tablet, for SwitchSee more",Floor Stand,Clip Holder,,,,,,,,,,,,,,,,,,,
10163,Spigen,,,,,,Black,,,,Shock-Absorbent,,"['iPad 9th Generation (2021)', 'iPad 8th (2020)', 7th (2019)']",Case,Hybrid,Acrylonitrile Butadiene Styrene,10.2 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164,Spigen,,,11 Inches,,,,,,,9 godzina Surface Hardness,,"iPad Pro 11"" (2024)",,,AG Film,,,,,,,,,,,,,,,,,,,9H,35L x 21W centimetres,Glossy,Matte,1,,,,,,,,
10165,MAGEASY,,,,,,New Black,,,,"Utilize advanced materials (graphene) to enhance iPad heat dissipation, Compatible with Magic Keyboard, Enhanced connection, Enhanced frame thickness (not intend for drops)See more",,"2024 iPad Pro 11"" (M4)",iPad Pro Case Compatible with Magic Keyboard,iPad Pro Case Compatible with Magic Keyboard,Polycarbonate,11 Inches,Solid,Minimalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166,Spigen,,,11 Inches,,,,,,,9 godzina Surface Hardness,,"iPad Pro 11"" (2024)",,,Tempered Glass,,,,,,,,,,Apple iPad Pro,,,,,,,,,9H,35L x 21W centimetres,Glossy,Glossy,,,,,,,,,
10167,ProCase,,,10.9 Inches,,,,,,,9 godzina Surface Hardness,,"IPad Air 5 10.9"" 2022 (A2588/A2589/A2591), iPad Air 4 10.9"" 2020 (A2324/A2072/A2316/A2325), iPad Pro 11"" 4th Gen 2022 (Model: A2759/A2435/A2761/A2762), iPad Pro 11"" 3rd Gen 2021 (A2377/A2459/A2301/A2460), iPad Pro 11"" 2nd Gen 2020 (A2228/A2231/A2068/A2230), iPad Pro 11"" 1st Gen 2018 (A1980/A2013/A1934/A1979)See more",,,Tempered Glass,,,,,,,,,,,,,,,,,,,9H,27.9L x 21.5W centimetres,Glossy,Smooth,2,,,,,,,,
10168,CHESONA,,,,,,Black,,,,Backlit,,Tablet,,,,,,,,,,,,,,,,,Bluetooth,Multi Functional,78,Modern,,,,,,,,Office,,,,,Single Color,
10169,Spigen,,,,,,Black,,,,Heavy Duty Protection,,iPad 9th Generation (2021) / iPad 8th Generation (2020) / iPad 7th Generation (2019),Case,Soft,"plastic, TPU Thermoplastic polyurethene Fabric",10.2 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10170,JETech,,,10.9 Inches,,,,,,,Anti-Glare/Anti-Fingerprint/High Sensitivity,,"iPad Air 5/4 10.9-Inch, iPad Pro 11-Inch (2022/2021/2020/2018 Model)",,,Tempered Glass,,,,,,,,,,"iPad Pro 11, iPad Air 5/4",,,,,,,,,9H,24.4L x 17.5W centimetres,Matte,Matte,,,,,,,,,
10171,Spigen,,,10.9 Inches,,,,,,,9 godzina Surface Hardness,,Tablet,,,Tempered Glass,,,,,,,,,,Ipad 10th Generation,,,,,,,,,9H,24.5L x 17.5W centimetres,Glossy,Glossy,,,,,,,,,
10172,ZUGU CASE,,,,,,Black,,,,"Auto Sleep/Wake, Stylus Holder, Foldable, Magnetic Closure, Heavy Duty Protection",,"iPad Air (M2) 11 inch (2024) iPad Air 4th & 5th Gen 10.9 inch 2020 / 2022 (Model: A2902, A2903, A2904, A2588, A2589, A2591, A2316, A2324, A2325, and A2072)See more",Case,Hard,"Leather, Acrylonitrile Butadiene Styrene, Thermoplastic Polyurethane",10.9 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
